Metros,Hotspots suburbs  for property investment,Average value residential property,Latitude,Longitude
Buffalo City ,East London,R635 983.00,32.92459,27.64403
City of Cape Town,Goodwood,R1 694 500.00,33.90505,18.56628
City of Cape Town,Edgemead,R2 344 500.00,33.87133,18.54358
City of Cape Town,Kuilsriver,R1 350 000.00,33.91723,18.68782
City of Cape Town,Southwen Suburbs (Plumstead),R2 350 000.00,34.02290,18.47554
City of Cape Town,Bellville Central,R1 425 000.00,33.89977,18.62908
City of Cape Town,Melkbosstrand,R3 662 500.00,33.71865,18.45420
City of Cape Town,Milnerton,R1 999 000.00,33.86019,18.54146
Ekurhuleni ,East Rand,R789 908.00,26.15217,28.34303
City of eThekwini,Durban,R920 485.00,29.81858,31.02089
City of eThekwini,Queensburgh,R1 300 000.00,29.87498,30.90737
City of eThekwini,Pinetown,R750 000.00,29.82924,30.83909
City of eThekwini,Hillcrest (Upper Highway),R1 300 000.00,29.78481,30.79857
City of eThekwini,Kloof (Upper Highway),R1 300 000.00,29.77506,30.83193
City of eThekwini,North Coast,R1 350 000.00,29.49256,31.22172
City of Johannesburg,Sandton,R1 650 000.00,26.10541,28.05689
City of Johannesburg,Fourways,R1 650 000.00,26.02333,28.00435
City of Johannesburg,Bryanston,R1 650 000.00,26.05613,28.02397
City of Johannesburg,Bedfordview and surrounds,R1 900 000.00,26.17064,28.13259
City of Johannesburg,JHB CBD,R1 068 215.00,26.20144,28.04702
City of Johannesburg,Randburg,R2 125 000.00,26.14231,27.99528
City of Johannesburg,Kibler Park & Johannesburg South,R1 600 000.00,26.32052,28.01029
Mangaung Municipality,Bloemfontein,R504 794.00,29.11175,26.22079
Nelson Mandela Bay,Port Elizabeth,R571 635.00,33.94142,25.60171
City of Tshwane ,Waverley,R1 995 000,25.70021,28.25598
City of Tshwane ,Erasmuskloof,R1 950 000,25.81594,28.26262
City of Tshwane ,Queenswood,R1 350 000,25.72920,28.24956
City of Tshwane ,Garsfontein,R1 650 000,25.79845,28.30233
City of Tshwane ,Lynnwood,R2 897 000,25.76376,28.26734
City of Tshwane ,Rietvalleirand ,R2 133 552,25.84582,28.26150
City of Tshwane ,Elardus Park,R1 490 00,25.83231,28.26037
City of Tshwane ,Menlo Park,R2 550 000,25.76926,28.25988
City of Tshwane ,Moreleta Park,R1 795 000,25.83043,28.29148
City of Tshwane ,Faerie Glen,R1 985 000,25.78410,28.31530
,,,,
